iter	Passed	Remaining
647	24400	13254
648	24431	13213
649	24464	13173
650	24502	13135
651	24535	13095
652	24576	13059
653	24608	13019
654	24640	12978
655	24682	12943
656	24716	12903
657	24749	12863
658	24780	12822
659	24812	12782
660	24846	12743
661	24881	12703
662	24921	12667
663	24955	12627
664	24985	12586
665	25017	12546
666	25050	12506
667	25084	12467
668	25118	12427
669	25164	12394
670	25208	12360
671	25247	12322
672	25306	12296
673	25341	12257
674	25373	12216
675	25402	12174
676	25433	12134
677	25464	12093
678	25492	12051
679	25523	12010
680	25555	11970
681	25595	11934
682	25625	11893
683	25660	11854
684	25699	11817
685	25730	11777
686	25761	11736
687	25791	11696
688	25824	11656
689	25857	11616
690	25888	11576
691	25920	11537
692	25951	11496
693	25989	11459
694	26020	11418
695	26058	11381
696	26103	11347
697	26138	11309
698	26174	11271
699	26209	11232
700	26247	11195
701	26287	11159
702	26321	11120
703	26361	11083
704	26393	11044
705	26429	11005
706	26469	10969
707	26501	10930
708	26538	10892
709	26577	10855
710	26614	10818
711	26646	10778
712	26680	10739
713	26711	10699
714	26744	10660
715	26775	10620
716	26808	10581
717	26835	10539
718	26865	10499
719	26895	10459
720	26929	10420
721	26961	10381
722	26992	10341
723	27023	10301
724	27079	10271
725	27122	10236
726	27184	10208
727	27216	10168
728	27248	10129
729	27280	10090
730	27312	10050
731	27343	10011
732	27378	9972
733	27410	9933
734	27441	9894
735	27477	9856
736	27509	9816
737	27541	9777
738	27577	9739
739	27615	9702
740	27654	9666
741	27688	9627
742	27721	9588
743	27755	9550
744	27788	9511
745	27820	9472
746	27861	9436
747	27896	9398
748	27935	9361
749	27971	9323
750	28002	9284
751	28033	9245
752	28066	9206
753	28096	9166
754	28126	9127
755	28160	9088
756	28190	9049
757	28225	9011
758	28258	8972
759	28291	8934
760	28322	8894
761	28352	8855
762	28387	8817
763	28425	8780
764	28456	8741
765	28490	8703
766	28525	8665
767	28558	8626
768	28595	8589
769	28633	8552
770	28669	8515
771	28702	8476
772	28737	8439
773	28772	8401
774	28812	8364
775	28847	8327
776	28878	8288
777	28912	8250
778	28943	8211
779	28975	8172
780	29007	8133
781	29043	8096
782	29091	8062
783	29125	8024
784	29158	7986
785	29187	7946
786	29226	7910
787	29264	7873
788	29305	7837
789	29340	7799
790	29375	7761
791	29408	7723
792	29441	7685
793	29472	7646
794	29504	7608
795	29536	7569
796	29571	7532
797	29606	7494
798	29638	7455
799	29669	7417
800	29701	7379
801	29741	7342
802	29778	7305
803	29822	7270
804	29862	7233
805	29902	7197
806	29950	7162
807	29988	7126
808	30027	7089
809	30069	7053
810	30108	7016
811	30150	6980
812	30186	6943
813	30218	6905
814	30250	6866
815	30285	6829
816	30343	6796
817	30384	6760
818	30429	6724
819	30475	6689
820	30510	6652
821	30545	6614
822	30580	6576
823	30624	6541
824	30657	6503
825	30688	6464
826	30723	6427
827	30757	6389
828	30803	6353
829	30876	6324
830	30915	6287
831	30947	6249
832	30981	6211
833	31014	6173
834	31052	6136
835	31087	6098
836	31124	6061
837	31158	6023
838	31190	5985
839	31224	5947
840	31259	5910
841	31290	5871
842	31322	5833
843	31354	5795
844	31386	5757
845	31419	5719
846	31450	5681
847	31490	5644
848	31528	5607
849	31560	5569
850	31593	5531
851	31630	5494
852	31669	5457
853	31701	5419
854	31735	5382
855	31767	5343
856	31799	5306
857	31833	5268
858	31865	5230
859	31897	5192
860	31929	5154
861	31961	5116
862	31999	5079
863	32031	5041
864	32062	5003
865	32095	4966
866	32134	4929
867	32164	4891
868	32219	4857
869	32258	4820
870	32299	4783
871	32354	4749
872	32390	4712
873	32427	4674
874	32463	4637
875	32506	4601
876	32554	4565
877	32594	4529
878	32633	4492
879	32677	4455
880	32722	4419
881	32756	4382
882	32789	4344
883	32826	4307
884	32858	4269
885	32890	4231
886	32921	4194
887	32955	4156
888	32988	4118
889	33028	4082
890	33058	4044
891	33091	4006
892	33125	3969
893	33158	3931
894	33191	3893
895	33230	3857
896	33265	3819
897	33298	3782
898	33331	3744
899	33379	3708
900	33421	3672
901	33461	3635
902	33497	3598
903	33532	3560
904	33565	3523
905	33602	3486
906	33643	3449
907	33675	3412
908	33705	3374
909	33739	3336
910	33772	3299
911	33804	3261
912	33840	3224
913	33872	3187
914	33904	3149
915	33936	3112
916	33968	3074
917	33998	3036
918	34029	2999
919	34060	2961
920	34091	2924
921	34124	2886
922	34162	2849
923	34193	2812
924	34225	2775
925	34258	2737
926	34291	2700
927	34323	2663
928	34354	2625
929	34387	2588
930	34418	2550
931	34447	2513
932	34478	2475
933	34511	2438
934	34546	2401
935	34581	2364
936	34614	2327
937	34656	2290
938	34690	2253
939	34722	2216
940	34754	2179
941	34788	2141
942	34818	2104
943	34847	2067
944	34878	2029
945	34906	1992
946	34937	1955
947	34971	1918
948	35002	1881
949	35034	1843
950	35067	1806
951	35098	1769
952	35128	1732
953	35159	1695
954	35198	1658
955	35231	1621
956	35263	1584
957	35295	1547
958	35326	1510
959	35358	1473
960	35390	1436
